Iteration,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
403,6300,17600,4400,4400
404,6300,17700,5200,4400
405,6400,17700,4400,4400
406,6300,17600,4400,4400
407,6300,17600,4400,4400
408,6300,17600,4400,4400
409,6300,17600,4400,4400
410,6300,17600,4400,4400
411,6200,32700,4400,4400
412,6300,19200,4400,4400
413,6300,17700,4400,4400
414,6400,17600,4400,4400
415,6300,17600,4300,4400
416,6300,17600,4400,4400
417,6300,17600,4400,4400
418,6300,17600,4400,4400
419,6300,17700,4400,4400
420,6200,17700,4400,5500
421,6300,17700,4400,4400
422,6300,18200,4400,4300
423,6300,17700,4400,4300
424,6300,17700,4400,4300
425,6300,18500,4400,4300
426,6200,17700,4400,4300
427,6300,17700,4400,4300
428,6300,17700,4400,4300
429,6400,17700,4400,4300
430,6300,17800,4300,4300
431,7600,17700,4300,4300
432,6300,17700,4300,4300
433,6400,17700,4300,4300
434,6300,17600,4400,4300
435,6300,17600,4400,4400
436,6300,17700,4400,4400
437,6300,17700,4400,4400
438,6300,17700,4400,4400
439,6300,17700,4400,4300
440,6300,18800,4400,4900
441,6300,17700,4400,4400
442,6300,17700,4400,4400
443,6300,17700,4400,4400
444,6300,17600,4400,4400
445,6200,17700,4300,4400
446,6300,17700,4300,4400
447,6300,17700,4300,4400
448,6400,17600,4300,4400
449,6300,17700,4300,4400
450,6300,17700,4400,4400
451,6200,17700,4400,4400
452,6300,17700,4400,4400
453,6300,17600,4400,4400
454,6300,17700,4400,4400
455,6300,18600,4400,4400
456,6300,17700,4400,4400
457,6300,17800,4400,4400
458,6300,17700,4400,4300
459,6300,17700,4400,4300
460,6300,17700,4300,4300
461,6300,17800,4300,4400
462,6300,17700,4300,4400
463,6300,17700,5100,4300
464,6300,17700,4400,4300
465,6300,17600,4400,4300
466,6300,17700,4400,4300
467,6300,17700,4400,4300
468,6300,17700,4400,4300
469,6300,17600,4400,4300
470,6300,18500,4400,4400
471,6300,17800,4400,4400
472,6300,17700,4400,4400
473,6300,17800,4400,4400
474,6300,17700,4300,4400
475,6300,17700,4300,4400
476,6300,17700,4300,4400
477,6300,17700,4300,4400
478,6300,18200,4300,4400
479,6400,17600,4400,5200
480,6300,17700,4400,4400
481,6300,17700,4400,4400
482,6300,17700,4400,4400
483,6300,17600,4400,4400
484,6300,18400,4400,4400
485,6200,17800,4400,4400
486,6300,17700,4400,4400
487,6300,17800,4400,4400
488,6300,17700,4300,4400
489,6300,17700,4300,4400
490,7600,17700,4300,4400
491,6300,17700,4300,4400
492,6300,17700,4300,4400
493,6300,17700,4400,4400
494,6300,17700,4400,4400
495,6300,17600,4400,4400
496,6300,17600,4400,4400
497,6300,17600,4400,4400
498,6300,17700,4400,4400
499,6300,18500,4400,4400
500,6300,17700,4400,4400
501,6300,17800,4400,4400
502,6300,17700,4300,4400
503,6300,17700,4300,4400
504,6200,17700,4300,4400
505,6300,17700,4300,4400
506,6300,17700,4300,4400
507,6300,19100,4400,4400
508,6300,18100,4400,4400
509,6300,18100,4400,4400
510,6300,18100,4400,4400
511,6300,18100,4400,4400
512,6300,18000,4400,4400
513,6300,18100,4400,4400
514,6300,18900,4400,4400
515,6300,18100,4400,4300
