Iteration,Placebo,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
284,4400,4400,17600,4400,4400
285,5300,4400,17600,4400,4400
286,4400,4400,17700,4400,4400
287,4400,4300,17700,4300,4400
288,4400,4300,17700,4400,4400
289,4300,4300,17700,4400,4300
290,4300,4300,17600,4400,4400
291,4300,4400,17700,4400,4400
292,4400,4400,17600,4400,4400
293,4400,4400,17600,4400,4400
294,4400,4400,17700,4400,4400
295,4400,4400,17700,4400,4400
296,4400,4400,17700,4400,4400
297,4400,4400,17700,4400,4400
298,4400,4400,18500,4400,4400
299,4400,4400,17700,4400,4400
300,4400,4400,17700,4400,5200
301,4300,4300,17700,4400,4400
302,4400,4300,17700,4300,4400
303,4400,4300,19200,4400,4300
304,4400,4300,18100,4400,4400
305,4400,4400,18100,4400,4400
306,4400,4400,18100,4400,4400
307,4400,4400,18100,4400,4400
308,4400,4400,18100,4400,4400
309,4400,4400,18100,4400,4400
310,4400,4400,18100,4400,5400
311,4400,4400,19100,4400,4400
312,4400,4400,19900,4400,4400
313,4400,4400,18200,4400,4400
314,4300,4400,18100,4400,4400
315,4400,4300,18100,4400,4400
316,4400,4300,18800,4400,4400
317,4400,4300,18100,4300,4400
318,4400,4300,18100,4300,4400
319,4400,4400,18100,5100,4300
320,4400,4400,18200,4400,4300
321,4400,4400,18100,4400,4300
322,4400,4400,18100,4300,4300
323,4400,4400,18200,4300,4400
324,4400,5200,18100,4400,4400
325,4400,4300,18100,4400,4400
326,4400,4400,19200,4400,4400
327,4400,4400,18500,4400,4400
328,4400,4400,17700,4400,4400
329,4300,4400,17700,4400,4400
330,4400,4400,17700,4400,4400
331,4400,4400,17600,4400,4400
332,4400,4400,17700,4400,4400
333,4400,4400,17600,4400,4300
334,4400,4400,17700,4400,4300
335,4400,4300,17700,4400,4300
336,4400,4300,17600,4400,4300
337,4400,4300,17600,4400,4300
338,4400,4300,17600,4300,4400
339,4400,4300,17700,4300,4400
340,4400,4400,17700,4300,4400
341,4400,4400,17700,4300,4400
342,4400,4400,18400,4400,4400
343,4300,4400,17600,4400,4400
344,5200,4400,17700,4400,4400
345,4400,4400,17700,4400,4400
346,4400,4400,17700,4400,4400
347,4400,4400,17600,4400,4400
348,4400,4400,17600,4400,4300
349,4400,4300,17600,4400,4300
350,4300,4300,17700,4400,4300
351,4400,4300,19200,4400,4300
352,4400,4300,18000,4400,4400
353,4400,4300,18100,4300,4400
354,4400,4400,18000,4300,4400
355,4400,4400,18000,4300,4400
356,4400,4400,18000,4300,4400
357,4400,4400,18900,4300,4400
358,4400,4400,18100,4400,4400
359,4400,4400,18000,4400,6500
360,4400,4400,18100,4400,4400
361,4400,4400,18100,4400,4300
362,4400,4400,18100,4400,4300
363,4400,4400,18100,4400,4300
364,4400,4400,18100,4400,4300
365,4300,4400,18100,4400,4400
366,4300,4400,18000,4400,4400
367,4400,4400,18200,4400,4400
368,4300,4300,18000,4400,4400
369,4300,4400,19400,4400,4400
370,4400,4400,19100,4400,4400
371,4400,4400,34600,4400,4400
372,4400,4400,20100,4300,4400
373,4400,4400,18500,4400,4400
374,4400,4400,19700,4400,4400
375,4400,4400,20000,4400,4300
376,4400,4400,18600,4400,4300
377,4400,4400,19700,4400,4300
378,4400,4400,18000,5200,4300
379,4400,4400,18100,4400,5700
380,4400,4400,18000,4400,4400
381,4300,4400,18100,4400,4400
382,4300,4400,18200,4400,4500
383,4400,6100,18100,4400,4400
384,4400,4400,18200,4400,4400
385,4300,4300,18100,4400,4400
386,4400,4300,18900,4400,4500
387,4400,4300,18100,4400,4500
388,4400,4300,19300,4400,4500
389,4400,4400,19400,4300,4500
390,4400,4400,18100,4300,5700
391,4400,4400,18200,4300,4400
392,4400,4400,18100,4300,4400
393,4400,4400,18100,4400,4300
394,4400,4400,18100,4400,4400
395,4400,4400,18100,4400,4400
396,4400,4400,18100,5000,4400
397,4400,4400,18000,4400,4400
398,4400,4400,18100,4400,5800
